customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4295-W419,Female,0,No,Yes,14,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,110.57,1540.72,No
7537-V765,Male,0,No,Yes,52,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),111.51,5802.56,No
7118-O629,Female,0,No,No,30,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,54.89,1662.28,No
8397-D353,Female,1,No,No,58,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Mailed check,30.41,1774.65,No
4681-C446,Female,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,95.63,5176.8,No
1344-S667,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,44.61,3059.65,No
4770-S325,Female,0,Yes,No,15,Yes,Yes,No,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),88.66,,No
1117-C824,Male,0,Yes,Yes,38,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,110.22,4183.51,No
1964-H169,Female,1,Yes,Yes,14,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,77.57,1090.73,No
1514-K172,Male,0,No,No,57,Yes,No,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.8,5969.85,No
9423-H385,Female,0,Yes,Yes,59,Yes,No phone service,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),40.83,2406.97,No
8953-G652,Male,0,No,Yes,8,Yes,No,No,No,No internet service,No,No,Yes,No internet service,Two year,No,Mailed check,109.75,863.2,No
3167-X684,Male,0,No,No,72,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),41.03,2948.09,No
8744-H903,Female,0,No,No,19,Yes,No phone service,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.94,768.97,No
8749-Z516,Male,0,Yes,Yes,32,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),106.68,3405.19,No
4119-D199,Female,0,No,No,29,Yes,Yes,No,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,74.02,2139.22,No
8062-L533,Female,0,Yes,Yes,41,Yes,No phone service,No,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,98.59,4031.23,No
7735-O984,Female,1,No,Yes,45,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),98.9,4426.54,No
1887-V769,Female,1,Yes,No,13,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,83.27,1096.63,No
2612-B512,Female,0,No,No,27,Yes,Yes,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),37.25,1004.58,No
6559-Z982,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,87.81,1661.52,No
2790-H296,Female,0,No,Yes,26,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),24.65,639.47,No
4116-R559,Female,0,No,Yes,53,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),38.42,2039.59,No
3296-N287,Female,0,No,No,51,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),82.86,4226.99,No
5563-O355,Female,0,No,Yes,37,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,109.48,4043.41,No
2235-O927,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,95.81,872.22,No
2604-B767,Male,0,Yes,Yes,52,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),51.66,2680.37,No
9856-A195,Male,0,Yes,No,54,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),101.03,5453.29,No
4872-F516,Female,0,No,Yes,3,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,115.39,363.41,No
8956-P318,Female,0,No,No,69,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,51.61,3581.69,No
7570-B268,Female,0,No,Yes,8,No,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),37.03,307.72,No
7209-A499,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),38.1,526.71,No
5345-Z903,Female,0,No,Yes,3,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),58.48,171.19,No
8454-J533,Female,0,No,Yes,24,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.51,556.45,No
8973-E294,Female,0,Yes,No,13,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),67.27,872.13,No
5861-G159,Female,0,Yes,No,43,Yes,Yes,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),91.85,3954.89,No
9883-B865,Male,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,One year,No,Electronic check,71.56,2056.44,No
6138-B151,Female,1,Yes,No,72,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),115.74,8322.94,No
8811-Q973,Male,0,Yes,No,51,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),64.65,3298.24,No
9701-F158,Female,0,Yes,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,19.58,821.4,No
9320-C971,Female,0,Yes,No,31,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Electronic check,65.5,2026.02,No
4044-C709,Male,0,Yes,No,63,Yes,No,DSL,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,111.7,7023.13,No
2113-V982,Female,0,No,No,26,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,No,Bank transfer (automatic),27.88,718.92,No
4853-M222,Male,0,No,No,18,Yes,No phone service,No,No,No internet service,No,Yes,No,No,One year,No,Credit card (automatic),40.66,727.04,No
5033-S708,Female,0,No,Yes,57,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),90.16,5125.81,No
1651-T183,Female,1,No,Yes,7,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),47.81,326.32,No
7868-V697,Male,0,No,Yes,48,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.16,4565.74,No
9565-K367,Female,0,No,Yes,60,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.39,3628.12,No
4346-V833,Male,1,No,No,33,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),98.25,3251.4,No
6147-H371,Female,0,Yes,No,3,Yes,Yes,No,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,73.68,210.57,No
7484-E787,Male,1,Yes,Yes,4,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,26.54,102.66,No
5915-O423,Male,0,No,Yes,4,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),57.06,225.78,No
2188-A569,Female,1,Yes,No,42,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,51.74,2171.1,No
2638-C650,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,One year,No,Mailed check,99.66,894.27,No
4492-Q371,Male,0,Yes,Yes,51,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),81.05,4121.84,No
3170-L170,Female,0,Yes,Yes,17,Yes,No phone service,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,96.38,1643.21,No
5002-L391,Female,0,Yes,Yes,17,Yes,No phone service,No,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.65,,No
3584-O953,Female,0,No,Yes,20,Yes,No,No,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),87.77,1755.73,No
9900-W409,Male,0,Yes,No,14,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),24.81,348.13,No
9666-A783,Male,0,No,No,22,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),21.94,476.62,No
5905-V206,Male,0,No,No,52,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),47.14,2458.93,No
3200-I218,Male,0,No,Yes,27,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,96.01,2587.76,No
2753-X666,Male,0,Yes,No,43,Yes,No,No,No,No,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),71.93,3094.68,No
3546-I388,Male,1,No,No,3,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),59.34,178.97,No
4450-W451,Male,0,No,Yes,8,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),108.36,869.45,No
4335-V749,Male,1,No,Yes,10,Yes,No,No,No,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),68.23,693.05,No
5325-Q600,Male,0,No,Yes,29,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,79.9,2309.89,No
5114-B194,Female,0,Yes,Yes,40,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,Yes,Two year,Yes,Electronic check,117.33,4693.09,No
7939-I145,Male,0,No,Yes,65,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,70.75,4598.33,No
1058-K889,Female,0,No,Yes,21,No,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),96.99,2033.87,No
3143-U368,Female,0,No,No,24,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,59.84,1441.04,No
3647-X552,Female,0,No,No,60,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.9,1302.35,No
8007-R109,Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),102.11,2668.84,No
2832-C807,Male,1,No,No,9,Yes,No,No,No,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,113.16,1032.89,No
3442-R136,Male,0,No,No,20,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),61.91,1231.88,No
7049-S665,Male,0,No,No,56,No,Yes,DSL,No internet service,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),68.87,3855.74,No
3426-N230,Female,0,No,Yes,36,Yes,No phone service,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.88,2173.76,No
1685-J473,Male,0,No,Yes,36,Yes,No,No,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,118.44,4257.3,No
1653-L315,Male,0,No,Yes,22,Yes,Yes,No,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,109.04,2421.98,No
5088-V205,Male,0,Yes,No,1,Yes,No phone service,No,Yes,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),22.38,28.38,No
6794-Y673,Male,0,No,No,69,Yes,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,No,Mailed check,96.54,6668.1,No
7658-T867,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,78.63,2904.36,No
3532-H985,Female,0,Yes,Yes,72,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,20.78,1495.14,No
3662-Z930,Male,1,No,Yes,13,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,62.94,817.62,No
3900-N125,Female,1,Yes,Yes,43,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.3,1417.89,No
3938-X440,Male,0,No,Yes,37,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Electronic check,105.99,3922.82,No
7745-Z785,Female,0,Yes,No,25,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.53,495.75,No
5065-I263,Male,0,No,No,21,Yes,No phone service,No,Yes,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,106.0,2243.66,No
2771-M993,Male,1,Yes,No,41,Yes,Yes,No,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,112.8,4627.2,No
1634-P327,Female,0,Yes,Yes,42,Yes,No phone service,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,25.58,1073.01,No
4269-O458,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),90.59,3803.45,No
6000-Z992,Female,0,Yes,Yes,2,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,73.41,150.51,No
4728-H124,Male,0,Yes,No,68,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),114.15,7769.89,No
4164-M436,Female,0,Yes,Yes,8,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,98.46,798.35,No
5564-C891,Male,0,Yes,Yes,61,Yes,No,No,Yes,No internet service,No,Yes,Yes,No internet service,Two year,No,Electronic check,88.04,5349.2,No
5573-L756,Male,0,Yes,No,14,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),111.26,1568.29,No
9346-M795,Female,0,No,No,21,Yes,No phone service,No,No internet service,No,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),34.37,709.77,No
9785-K128,Female,0,Yes,No,24,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,56.03,1334.89,No
